Module,Fan-In,Fan-Out
ChatTTS,1,1
ChatTTS.config,1,2
ChatTTS.config.Config,1,1
ChatTTS.config.config,1,2
ChatTTS.core,20,2
ChatTTS.model,6,2
ChatTTS.model.DVAE,4,1
ChatTTS.model.Embed,1,1
ChatTTS.model.GPT,11,1
ChatTTS.model.Speaker,3,1
ChatTTS.model.Tokenizer,3,1
ChatTTS.model.count,2,1
ChatTTS.model.cuda,1,3
ChatTTS.model.cuda.count,2,1
ChatTTS.model.cuda.patch,0,2
ChatTTS.model.cuda.te_llama,4,2
ChatTTS.model.dvae,4,2
ChatTTS.model.embed,1,6
ChatTTS.model.gpt,11,2
ChatTTS.model.processors,0,2
ChatTTS.model.speaker,3,2
ChatTTS.model.tokenizer,3,2
ChatTTS.model.velocity,2,4
ChatTTS.model.velocity.LLM,6,2
ChatTTS.model.velocity.block_manager,3,2
ChatTTS.model.velocity.configs,4,5
ChatTTS.model.velocity.llama,1,2
ChatTTS.model.velocity.llm,6,2
ChatTTS.model.velocity.llm_engine,12,3
ChatTTS.model.velocity.model_loader,2,2
ChatTTS.model.velocity.model_runner,9,2
ChatTTS.model.velocity.output,2,4
ChatTTS.model.velocity.sampler,2,2
ChatTTS.model.velocity.sampling_params,3,7
ChatTTS.model.velocity.scheduler,5,2
ChatTTS.model.velocity.sequence,4,6
ChatTTS.model.velocity.worker,3,2
ChatTTS.norm,6,2
ChatTTS.res,0,1
ChatTTS.utils,4,11
ChatTTS.utils.dl,11,2
ChatTTS.utils.gpu,1,2
ChatTTS.utils.io,5,2
ChatTTS.utils.log,2,5
__main__,37,0
argparse,3,3
collections,1,6
contextlib,2,5
copy,0,6
csv,2,2
dataclasses,3,7
enum,0,5
functools,2,8
gc,0,2
hashlib,1,1
io,0,10
json,0,4
logging,5,7
lzma,2,4
math,0,2
mmap,0,1
numpy,3,9
os,2,18
pathlib,4,5
platform,5,3
re,2,11
subprocess,4,3
tarfile,7,1
tempfile,3,1
time,0,7
tqdm,0,4
typing,4,27
zipfile,7,1
